시도명,시군명,소의종류,소의성별,출생년월,출생두수
강원도,강릉시,육우,수,201801,19
강원도,강릉시,육우,수,201802,8
강원도,강릉시,육우,수,201803,8
강원도,강릉시,육우,수,201804,11
강원도,강릉시,육우,수,201805,7
강원도,강릉시,육우,수,201806,8
강원도,강릉시,육우,수,201807,12
강원도,강릉시,육우,수,201808,8
강원도,강릉시,육우,수,201809,3
강원도,강릉시,육우,수,201810,10
강원도,강릉시,육우,수,201811,7
강원도,강릉시,육우,수,201812,19
강원도,강릉시,육우,암,201801,1
강원도,강릉시,육우,암,201802,4
강원도,강릉시,육우,암,201804,1
강원도,강릉시,육우,암,201806,3
강원도,강릉시,육우,암,201807,1
강원도,강릉시,육우,암,201808,3
강원도,강릉시,육우,암,201810,4
강원도,강릉시,젖소,암,201801,6
강원도,강릉시,젖소,암,201802,8
강원도,강릉시,젖소,암,201803,10
강원도,강릉시,젖소,암,201804,5
강원도,강릉시,젖소,암,201805,11
강원도,강릉시,젖소,암,201806,14
강원도,강릉시,젖소,암,201807,8
강원도,강릉시,젖소,암,201808,6
강원도,강릉시,젖소,암,201809,3
강원도,강릉시,젖소,암,201810,37
강원도,강릉시,젖소,암,201811,6
강원도,강릉시,젖소,암,201812,14
강원도,강릉시,한우,수,201801,66
강원도,강릉시,한우,수,201802,81
강원도,강릉시,한우,수,201803,127
강원도,강릉시,한우,수,201804,180
강원도,강릉시,한우,수,201805,160
강원도,강릉시,한우,수,201806,130
강원도,강릉시,한우,수,201807,83
강원도,강릉시,한우,수,201808,82
강원도,강릉시,한우,수,201809,68
강원도,강릉시,한우,수,201810,59
강원도,강릉시,한우,수,201811,58
강원도,강릉시,한우,수,201812,76
강원도,강릉시,한우,암,201801,75
강원도,강릉시,한우,암,201802,83
강원도,강릉시,한우,암,201803,122
강원도,강릉시,한우,암,201804,135
강원도,강릉시,한우,암,201805,130
강원도,강릉시,한우,암,201806,113
강원도,강릉시,한우,암,201807,94
강원도,강릉시,한우,암,201808,67
강원도,강릉시,한우,암,201809,62
강원도,강릉시,한우,암,201810,64
