시도명,시군명,소의종류,소의성별,출생년월,출생두수
강원도,강릉시,육우,수,201701,21
강원도,강릉시,육우,수,201702,5
강원도,강릉시,육우,수,201703,16
강원도,강릉시,육우,수,201704,7
강원도,강릉시,육우,수,201705,7
강원도,강릉시,육우,수,201706,15
강원도,강릉시,육우,수,201707,10
강원도,강릉시,육우,수,201708,21
강원도,강릉시,육우,수,201709,9
강원도,강릉시,육우,수,201710,16
강원도,강릉시,육우,수,201711,16
강원도,강릉시,육우,수,201712,21
강원도,강릉시,육우,암,201702,1
강원도,강릉시,육우,암,201703,4
강원도,강릉시,육우,암,201704,2
강원도,강릉시,육우,암,201705,7
강원도,강릉시,육우,암,201706,4
강원도,강릉시,육우,암,201707,2
강원도,강릉시,육우,암,201708,2
강원도,강릉시,육우,암,201709,11
강원도,강릉시,육우,암,201710,1
강원도,강릉시,육우,암,201711,1
강원도,강릉시,육우,암,201712,1
강원도,강릉시,젖소,암,201701,6
강원도,강릉시,젖소,암,201702,5
강원도,강릉시,젖소,암,201703,13
강원도,강릉시,젖소,암,201704,6
강원도,강릉시,젖소,암,201705,11
강원도,강릉시,젖소,암,201706,11
강원도,강릉시,젖소,암,201707,5
강원도,강릉시,젖소,암,201708,12
강원도,강릉시,젖소,암,201709,12
강원도,강릉시,젖소,암,201710,12
강원도,강릉시,젖소,암,201711,9
강원도,강릉시,젖소,암,201712,13
강원도,강릉시,한우,수,201701,61
강원도,강릉시,한우,수,201702,78
강원도,강릉시,한우,수,201703,150
강원도,강릉시,한우,수,201704,154
강원도,강릉시,한우,수,201705,181
강원도,강릉시,한우,수,201706,141
강원도,강릉시,한우,수,201707,93
강원도,강릉시,한우,수,201708,74
강원도,강릉시,한우,수,201709,69
강원도,강릉시,한우,수,201710,64
강원도,강릉시,한우,수,201711,53
강원도,강릉시,한우,수,201712,77
강원도,강릉시,한우,암,201701,73
강원도,강릉시,한우,암,201702,79
강원도,강릉시,한우,암,201703,158
강원도,강릉시,한우,암,201704,159
강원도,강릉시,한우,암,201705,144
강원도,강릉시,한우,암,201706,106
강원도,강릉시,한우,암,201707,105
강원도,강릉시,한우,암,201708,71
강원도,강릉시,한우,암,201709,71
강원도,강릉시,한우,암,201710,64
강원도,강릉시,한우,암,201711,61
강원도,강릉시,한우,암,201712,61
강원도,고성군,육우,수,201710,2
강원도,고성군,육우,수,201711,1
강원도,고성군,한우,수,201701,81
강원도,고성군,한우,수,201702,95
강원도,고성군,한우,수,201703,156
강원도,고성군,한우,수,201704,192
강원도,고성군,한우,수,201705,166
강원도,고성군,한우,수,201706,136
강원도,고성군,한우,수,201707,85
강원도,고성군,한우,수,201708,73
강원도,고성군,한우,수,201709,72
강원도,고성군,한우,수,201710,88
강원도,고성군,한우,수,201711,68
강원도,고성군,한우,수,201712,80
강원도,고성군,한우,암,201701,85
강원도,고성군,한우,암,201702,79
강원도,고성군,한우,암,201703,141
강원도,고성군,한우,암,201704,167
강원도,고성군,한우,암,201705,149
강원도,고성군,한우,암,201706,146
강원도,고성군,한우,암,201707,76
강원도,고성군,한우,암,201708,92
강원도,고성군,한우,암,201709,49
강원도,고성군,한우,암,201710,69
강원도,고성군,한우,암,201711,49
강원도,고성군,한우,암,201712,91
강원도,동해시,한우,수,201701,3
강원도,동해시,한우,수,201702,12
강원도,동해시,한우,수,201703,30
강원도,동해시,한우,수,201704,38
강원도,동해시,한우,수,201705,29
강원도,동해시,한우,수,201706,21
강원도,동해시,한우,수,201707,16
강원도,동해시,한우,수,201708,6
강원도,동해시,한우,수,201709,11
강원도,동해시,한우,수,201710,13
강원도,동해시,한우,수,201711,7
강원도,동해시,한우,수,201712,10
강원도,동해시,한우,암,201701,10
강원도,동해시,한우,암,201702,7
강원도,동해시,한우,암,201703,19
강원도,동해시,한우,암,201704,19
강원도,동해시,한우,암,201705,23
강원도,동해시,한우,암,201706,20
강원도,동해시,한우,암,201707,13
강원도,동해시,한우,암,201708,11
강원도,동해시,한우,암,201709,10
강원도,동해시,한우,암,201710,6
강원도,동해시,한우,암,201711,10
강원도,동해시,한우,암,201712,9
강원도,삼척시,한우,수,201701,121
강원도,삼척시,한우,수,201702,121
강원도,삼척시,한우,수,201703,227
강원도,삼척시,한우,수,201704,231
강원도,삼척시,한우,수,201705,242
강원도,삼척시,한우,수,201706,174
강원도,삼척시,한우,수,201707,144
강원도,삼척시,한우,수,201708,122
강원도,삼척시,한우,수,201709,130
강원도,삼척시,한우,수,201710,95
강원도,삼척시,한우,수,201711,108
강원도,삼척시,한우,수,201712,124
강원도,삼척시,한우,암,201701,89
강원도,삼척시,한우,암,201702,152
강원도,삼척시,한우,암,201703,203
강원도,삼척시,한우,암,201704,246
강원도,삼척시,한우,암,201705,233
강원도,삼척시,한우,암,201706,164
강원도,삼척시,한우,암,201707,106
강원도,삼척시,한우,암,201708,122
강원도,삼척시,한우,암,201709,111
강원도,삼척시,한우,암,201710,114
강원도,삼척시,한우,암,201711,81
강원도,삼척시,한우,암,201712,109
강원도,속초시,한우,수,201701,2
강원도,속초시,한우,수,201702,5
강원도,속초시,한우,수,201703,3
강원도,속초시,한우,수,201704,3
강원도,속초시,한우,수,201705,7
강원도,속초시,한우,수,201706,2
강원도,속초시,한우,수,201707,4
강원도,속초시,한우,수,201708,6
강원도,속초시,한우,수,201709,4
강원도,속초시,한우,수,201710,4
강원도,속초시,한우,수,201711,1
강원도,속초시,한우,수,201712,4
강원도,속초시,한우,암,201701,9
강원도,속초시,한우,암,201702,4
강원도,속초시,한우,암,201703,2
강원도,속초시,한우,암,201704,7
강원도,속초시,한우,암,201705,9
강원도,속초시,한우,암,201706,6
강원도,속초시,한우,암,201707,3
강원도,속초시,한우,암,201708,2
강원도,속초시,한우,암,201709,6
강원도,속초시,한우,암,201710,8
강원도,속초시,한우,암,201711,3
강원도,속초시,한우,암,201712,5
강원도,양구군,한우,수,201701,43
강원도,양구군,한우,수,201702,57
강원도,양구군,한우,수,201703,132
강원도,양구군,한우,수,201704,194
강원도,양구군,한우,수,201705,149
강원도,양구군,한우,수,201706,99
강원도,양구군,한우,수,201707,100
강원도,양구군,한우,수,201708,83
강원도,양구군,한우,수,201709,53
강원도,양구군,한우,수,201710,67
강원도,양구군,한우,수,201711,39
강원도,양구군,한우,수,201712,53
강원도,양구군,한우,암,201701,49
강원도,양구군,한우,암,201702,68
강원도,양구군,한우,암,201703,166
강원도,양구군,한우,암,201704,172
강원도,양구군,한우,암,201705,180
강원도,양구군,한우,암,201706,92
강원도,양구군,한우,암,201707,105
강원도,양구군,한우,암,201708,68
강원도,양구군,한우,암,201709,52
강원도,양구군,한우,암,201710,41
강원도,양구군,한우,암,201711,40
강원도,양구군,한우,암,201712,43
강원도,양양군,한우,수,201701,54
강원도,양양군,한우,수,201702,95
강원도,양양군,한우,수,201703,152
강원도,양양군,한우,수,201704,138
강원도,양양군,한우,수,201705,104
강원도,양양군,한우,수,201706,107
