시도명,시군명,소의종류,소의성별,출생년월,출생두수
강원도,강릉시,육우,수,202001,10
강원도,강릉시,육우,수,202002,7
강원도,강릉시,육우,수,202003,14
강원도,강릉시,육우,수,202004,6
강원도,강릉시,육우,수,202005,4
강원도,강릉시,육우,수,202006,13
강원도,강릉시,육우,수,202007,17
강원도,강릉시,육우,수,202008,16
강원도,강릉시,육우,수,202009,13
강원도,강릉시,육우,수,202010,9
강원도,강릉시,육우,수,202011,18
강원도,강릉시,육우,수,202012,6
강원도,강릉시,육우,암,202001,2
강원도,강릉시,육우,암,202003,2
강원도,강릉시,육우,암,202006,3
강원도,강릉시,육우,암,202007,1
강원도,강릉시,육우,암,202008,5
강원도,강릉시,육우,암,202010,1
강원도,강릉시,육우,암,202011,1
강원도,강릉시,젖소,암,202001,6
강원도,강릉시,젖소,암,202002,10
강원도,강릉시,젖소,암,202003,10
강원도,강릉시,젖소,암,202004,6
강원도,강릉시,젖소,암,202005,9
강원도,강릉시,젖소,암,202006,9
강원도,강릉시,젖소,암,202007,19
강원도,강릉시,젖소,암,202008,8
강원도,강릉시,젖소,암,202009,26
강원도,강릉시,젖소,암,202010,17
강원도,강릉시,젖소,암,202011,11
강원도,강릉시,젖소,암,202012,10
강원도,강릉시,한우,수,202001,60
강원도,강릉시,한우,수,202002,107
강원도,강릉시,한우,수,202003,139
강원도,강릉시,한우,수,202004,141
강원도,강릉시,한우,수,202005,129
강원도,강릉시,한우,수,202006,131
강원도,강릉시,한우,수,202007,118
강원도,강릉시,한우,수,202008,86
강원도,강릉시,한우,수,202009,85
강원도,강릉시,한우,수,202010,80
강원도,강릉시,한우,수,202011,84
강원도,강릉시,한우,수,202012,92
강원도,강릉시,한우,암,202001,59
강원도,강릉시,한우,암,202002,78
강원도,강릉시,한우,암,202003,157
강원도,강릉시,한우,암,202004,134
강원도,강릉시,한우,암,202005,139
강원도,강릉시,한우,암,202006,112
강원도,강릉시,한우,암,202007,89
강원도,강릉시,한우,암,202008,88
강원도,강릉시,한우,암,202009,74
강원도,강릉시,한우,암,202010,82
강원도,강릉시,한우,암,202011,77
강원도,강릉시,한우,암,202012,79
강원도,고성군,한우,수,202001,103
강원도,고성군,한우,수,202002,99
강원도,고성군,한우,수,202003,181
강원도,고성군,한우,수,202004,226
강원도,고성군,한우,수,202005,223
강원도,고성군,한우,수,202006,167
강원도,고성군,한우,수,202007,131
강원도,고성군,한우,수,202008,92
강원도,고성군,한우,수,202009,119
강원도,고성군,한우,수,202010,111
강원도,고성군,한우,수,202011,98
강원도,고성군,한우,수,202012,100
강원도,고성군,한우,암,202001,94
강원도,고성군,한우,암,202002,94
강원도,고성군,한우,암,202003,188
강원도,고성군,한우,암,202004,203
강원도,고성군,한우,암,202005,212
강원도,고성군,한우,암,202006,153
강원도,고성군,한우,암,202007,102
강원도,고성군,한우,암,202008,99
강원도,고성군,한우,암,202009,86
강원도,고성군,한우,암,202010,98
강원도,고성군,한우,암,202011,92
강원도,고성군,한우,암,202012,102
강원도,동해시,한우,수,202001,10
강원도,동해시,한우,수,202002,15
강원도,동해시,한우,수,202003,19
강원도,동해시,한우,수,202004,25
강원도,동해시,한우,수,202005,25
강원도,동해시,한우,수,202006,32
강원도,동해시,한우,수,202007,19
강원도,동해시,한우,수,202008,16
강원도,동해시,한우,수,202009,12
강원도,동해시,한우,수,202010,14
강원도,동해시,한우,수,202011,10
강원도,동해시,한우,수,202012,12
강원도,동해시,한우,암,202001,11
강원도,동해시,한우,암,202002,9
강원도,동해시,한우,암,202003,17
강원도,동해시,한우,암,202004,27
강원도,동해시,한우,암,202005,22
강원도,동해시,한우,암,202006,21
강원도,동해시,한우,암,202007,12
강원도,동해시,한우,암,202008,17
강원도,동해시,한우,암,202009,5
강원도,동해시,한우,암,202010,10
강원도,동해시,한우,암,202011,12
강원도,동해시,한우,암,202012,15
강원도,삼척시,한우,수,202001,141
강원도,삼척시,한우,수,202002,197
강원도,삼척시,한우,수,202003,283
강원도,삼척시,한우,수,202004,260
강원도,삼척시,한우,수,202005,254
강원도,삼척시,한우,수,202006,201
강원도,삼척시,한우,수,202007,171
강원도,삼척시,한우,수,202008,176
강원도,삼척시,한우,수,202009,128
강원도,삼척시,한우,수,202010,136
강원도,삼척시,한우,수,202011,127
강원도,삼척시,한우,수,202012,118
강원도,삼척시,한우,암,202001,153
강원도,삼척시,한우,암,202002,166
강원도,삼척시,한우,암,202003,237
강원도,삼척시,한우,암,202004,272
강원도,삼척시,한우,암,202005,226
강원도,삼척시,한우,암,202006,180
강원도,삼척시,한우,암,202007,165
강원도,삼척시,한우,암,202008,147
강원도,삼척시,한우,암,202009,126
강원도,삼척시,한우,암,202010,115
강원도,삼척시,한우,암,202011,119
강원도,삼척시,한우,암,202012,109
강원도,속초시,한우,수,202001,2
강원도,속초시,한우,수,202002,2
강원도,속초시,한우,수,202003,13
강원도,속초시,한우,수,202004,6
강원도,속초시,한우,수,202005,7
강원도,속초시,한우,수,202006,9
강원도,속초시,한우,수,202007,6
강원도,속초시,한우,수,202008,4
강원도,속초시,한우,수,202009,4
강원도,속초시,한우,수,202010,2
강원도,속초시,한우,수,202011,2
강원도,속초시,한우,수,202012,4
강원도,속초시,한우,암,202001,6
강원도,속초시,한우,암,202002,4
강원도,속초시,한우,암,202003,9
강원도,속초시,한우,암,202004,7
강원도,속초시,한우,암,202005,3
강원도,속초시,한우,암,202006,5
강원도,속초시,한우,암,202007,6
강원도,속초시,한우,암,202008,5
강원도,속초시,한우,암,202009,7
강원도,속초시,한우,암,202010,3
강원도,속초시,한우,암,202011,4
강원도,속초시,한우,암,202012,3
강원도,양구군,한우,수,202001,61
강원도,양구군,한우,수,202002,76
강원도,양구군,한우,수,202003,150
강원도,양구군,한우,수,202004,193
강원도,양구군,한우,수,202005,192
강원도,양구군,한우,수,202006,117
강원도,양구군,한우,수,202007,102
강원도,양구군,한우,수,202008,88
강원도,양구군,한우,수,202009,75
강원도,양구군,한우,수,202010,70
강원도,양구군,한우,수,202011,68
강원도,양구군,한우,수,202012,56
강원도,양구군,한우,암,202001,45
강원도,양구군,한우,암,202002,53
강원도,양구군,한우,암,202003,142
강원도,양구군,한우,암,202004,206
강원도,양구군,한우,암,202005,150
강원도,양구군,한우,암,202006,113
강원도,양구군,한우,암,202007,85
강원도,양구군,한우,암,202008,80
강원도,양구군,한우,암,202009,88
강원도,양구군,한우,암,202010,69
강원도,양구군,한우,암,202011,59
강원도,양구군,한우,암,202012,65
강원도,양양군,한우,수,202001,67
강원도,양양군,한우,수,202002,102
강원도,양양군,한우,수,202003,179
강원도,양양군,한우,수,202004,153
강원도,양양군,한우,수,202005,151
강원도,양양군,한우,수,202006,145
강원도,양양군,한우,수,202007,118
강원도,양양군,한우,수,202008,106
강원도,양양군,한우,수,202009,85
