시도명,시군명,소의종류,소의성별,출생년월,출생두수
강원도,강릉시,육우,수,201501,19
강원도,강릉시,육우,수,201502,25
강원도,강릉시,육우,수,201503,15
강원도,강릉시,육우,수,201504,15
강원도,강릉시,육우,수,201505,12
강원도,강릉시,육우,수,201506,13
강원도,강릉시,육우,수,201507,7
강원도,강릉시,육우,수,201508,16
강원도,강릉시,육우,수,201509,16
강원도,강릉시,육우,수,201510,10
강원도,강릉시,육우,수,201511,12
강원도,강릉시,육우,수,201512,11
강원도,강릉시,육우,암,201501,5
강원도,강릉시,육우,암,201502,3
강원도,강릉시,육우,암,201503,1
강원도,강릉시,육우,암,201504,4
강원도,강릉시,육우,암,201505,3
강원도,강릉시,육우,암,201506,2
강원도,강릉시,육우,암,201507,5
강원도,강릉시,육우,암,201508,3
강원도,강릉시,육우,암,201509,2
강원도,강릉시,육우,암,201510,3
강원도,강릉시,육우,암,201511,3
강원도,강릉시,젖소,암,201501,25
강원도,강릉시,젖소,암,201502,13
강원도,강릉시,젖소,암,201503,9
강원도,강릉시,젖소,암,201504,20
강원도,강릉시,젖소,암,201505,23
강원도,강릉시,젖소,암,201506,15
강원도,강릉시,젖소,암,201507,15
강원도,강릉시,젖소,암,201508,8
강원도,강릉시,젖소,암,201509,13
강원도,강릉시,젖소,암,201510,13
강원도,강릉시,젖소,암,201511,17
강원도,강릉시,젖소,암,201512,16
강원도,강릉시,한우,수,201501,76
강원도,강릉시,한우,수,201502,63
강원도,강릉시,한우,수,201503,111
강원도,강릉시,한우,수,201504,141
강원도,강릉시,한우,수,201505,133
강원도,강릉시,한우,수,201506,94
강원도,강릉시,한우,수,201507,80
강원도,강릉시,한우,수,201508,59
강원도,강릉시,한우,수,201509,52
강원도,강릉시,한우,수,201510,67
강원도,강릉시,한우,수,201511,66
강원도,강릉시,한우,수,201512,78
강원도,강릉시,한우,암,201501,76
강원도,강릉시,한우,암,201502,81
강원도,강릉시,한우,암,201503,105
강원도,강릉시,한우,암,201504,133
강원도,강릉시,한우,암,201505,133
강원도,강릉시,한우,암,201506,104
강원도,강릉시,한우,암,201507,86
강원도,강릉시,한우,암,201508,72
강원도,강릉시,한우,암,201509,55
강원도,강릉시,한우,암,201510,76
강원도,강릉시,한우,암,201511,50
강원도,강릉시,한우,암,201512,76
강원도,고성군,한우,수,201501,72
강원도,고성군,한우,수,201502,63
강원도,고성군,한우,수,201503,157
강원도,고성군,한우,수,201504,168
강원도,고성군,한우,수,201505,199
강원도,고성군,한우,수,201506,114
강원도,고성군,한우,수,201507,114
강원도,고성군,한우,수,201508,90
강원도,고성군,한우,수,201509,53
강원도,고성군,한우,수,201510,63
강원도,고성군,한우,수,201511,46
강원도,고성군,한우,수,201512,69
강원도,고성군,한우,암,201501,77
강원도,고성군,한우,암,201502,67
강원도,고성군,한우,암,201503,143
강원도,고성군,한우,암,201504,156
강원도,고성군,한우,암,201505,160
강원도,고성군,한우,암,201506,118
강원도,고성군,한우,암,201507,89
강원도,고성군,한우,암,201508,70
강원도,고성군,한우,암,201509,68
강원도,고성군,한우,암,201510,72
강원도,고성군,한우,암,201511,47
강원도,고성군,한우,암,201512,73
강원도,동해시,한우,수,201501,4
강원도,동해시,한우,수,201502,3
강원도,동해시,한우,수,201503,23
강원도,동해시,한우,수,201504,28
강원도,동해시,한우,수,201505,20
강원도,동해시,한우,수,201506,13
강원도,동해시,한우,수,201507,18
강원도,동해시,한우,수,201508,19
강원도,동해시,한우,수,201509,3
