시도명,시군명,소의종류,소의성별,출생년월,출생두수
강원도,강릉시,육우,수,201601,11
강원도,강릉시,육우,수,201602,22
강원도,강릉시,육우,수,201603,12
강원도,강릉시,육우,수,201604,13
강원도,강릉시,육우,수,201605,8
강원도,강릉시,육우,수,201606,19
강원도,강릉시,육우,수,201607,19
강원도,강릉시,육우,수,201608,17
강원도,강릉시,육우,수,201609,17
강원도,강릉시,육우,수,201610,19
강원도,강릉시,육우,수,201611,9
강원도,강릉시,육우,수,201612,17
강원도,강릉시,육우,암,201601,3
강원도,강릉시,육우,암,201602,3
강원도,강릉시,육우,암,201604,4
강원도,강릉시,육우,암,201605,1
강원도,강릉시,육우,암,201607,8
강원도,강릉시,육우,암,201608,4
강원도,강릉시,육우,암,201609,9
강원도,강릉시,육우,암,201610,4
강원도,강릉시,육우,암,201611,2
강원도,강릉시,육우,암,201612,1
강원도,강릉시,젖소,암,201601,11
강원도,강릉시,젖소,암,201602,8
강원도,강릉시,젖소,암,201603,12
강원도,강릉시,젖소,암,201604,4
강원도,강릉시,젖소,암,201605,11
강원도,강릉시,젖소,암,201606,9
강원도,강릉시,젖소,암,201607,22
강원도,강릉시,젖소,암,201608,10
강원도,강릉시,젖소,암,201609,15
강원도,강릉시,젖소,암,201610,34
강원도,강릉시,젖소,암,201611,3
강원도,강릉시,젖소,암,201612,12
강원도,강릉시,한우,수,201601,72
강원도,강릉시,한우,수,201602,76
강원도,강릉시,한우,수,201603,134
강원도,강릉시,한우,수,201604,161
강원도,강릉시,한우,수,201605,152
강원도,강릉시,한우,수,201606,118
강원도,강릉시,한우,수,201607,74
강원도,강릉시,한우,수,201608,68
강원도,강릉시,한우,수,201609,75
강원도,강릉시,한우,수,201610,64
강원도,강릉시,한우,수,201611,59
강원도,강릉시,한우,수,201612,99
강원도,강릉시,한우,암,201601,71
강원도,강릉시,한우,암,201602,65
강원도,강릉시,한우,암,201603,125
강원도,강릉시,한우,암,201604,141
강원도,강릉시,한우,암,201605,125
강원도,강릉시,한우,암,201606,126
강원도,강릉시,한우,암,201607,82
강원도,강릉시,한우,암,201608,67
강원도,강릉시,한우,암,201609,77
강원도,강릉시,한우,암,201610,64
강원도,강릉시,한우,암,201611,51
강원도,강릉시,한우,암,201612,69
강원도,고성군,한우,수,201601,76
강원도,고성군,한우,수,201602,96
강원도,고성군,한우,수,201603,114
강원도,고성군,한우,수,201604,201
강원도,고성군,한우,수,201605,179
강원도,고성군,한우,수,201606,149
강원도,고성군,한우,수,201607,107
강원도,고성군,한우,수,201608,91
강원도,고성군,한우,수,201609,69
강원도,고성군,한우,수,201610,73
강원도,고성군,한우,수,201611,80
강원도,고성군,한우,수,201612,75
강원도,고성군,한우,암,201601,62
강원도,고성군,한우,암,201602,67
강원도,고성군,한우,암,201603,125
강원도,고성군,한우,암,201604,180
강원도,고성군,한우,암,201605,171
강원도,고성군,한우,암,201606,130
강원도,고성군,한우,암,201607,92
강원도,고성군,한우,암,201608,89
강원도,고성군,한우,암,201609,65
강원도,고성군,한우,암,201610,58
강원도,고성군,한우,암,201611,56
강원도,고성군,한우,암,201612,65
강원도,동해시,한우,수,201601,12
강원도,동해시,한우,수,201602,7
강원도,동해시,한우,수,201603,28
강원도,동해시,한우,수,201604,26
강원도,동해시,한우,수,201605,22
강원도,동해시,한우,수,201606,14
강원도,동해시,한우,수,201607,26
강원도,동해시,한우,수,201608,16
강원도,동해시,한우,수,201609,14
강원도,동해시,한우,수,201610,5
강원도,동해시,한우,수,201611,6
강원도,동해시,한우,수,201612,4
강원도,동해시,한우,암,201601,5
강원도,동해시,한우,암,201602,4
강원도,동해시,한우,암,201603,27
강원도,동해시,한우,암,201604,28
강원도,동해시,한우,암,201605,24
강원도,동해시,한우,암,201606,12
강원도,동해시,한우,암,201607,14
강원도,동해시,한우,암,201608,15
강원도,동해시,한우,암,201609,8
강원도,동해시,한우,암,201610,7
강원도,동해시,한우,암,201611,8
강원도,동해시,한우,암,201612,7
강원도,삼척시,한우,수,201601,108
강원도,삼척시,한우,수,201602,150
강원도,삼척시,한우,수,201603,245
강원도,삼척시,한우,수,201604,245
강원도,삼척시,한우,수,201605,210
강원도,삼척시,한우,수,201606,160
강원도,삼척시,한우,수,201607,118
강원도,삼척시,한우,수,201608,126
강원도,삼척시,한우,수,201609,121
강원도,삼척시,한우,수,201610,90
강원도,삼척시,한우,수,201611,107
강원도,삼척시,한우,수,201612,119
강원도,삼척시,한우,암,201601,106
강원도,삼척시,한우,암,201602,129
강원도,삼척시,한우,암,201603,200
강원도,삼척시,한우,암,201604,215
강원도,삼척시,한우,암,201605,219
강원도,삼척시,한우,암,201606,168
강원도,삼척시,한우,암,201607,115
강원도,삼척시,한우,암,201608,128
강원도,삼척시,한우,암,201609,107
강원도,삼척시,한우,암,201610,112
강원도,삼척시,한우,암,201611,109
강원도,삼척시,한우,암,201612,119
강원도,속초시,한우,수,201601,3
강원도,속초시,한우,수,201602,6
강원도,속초시,한우,수,201603,5
강원도,속초시,한우,수,201604,5
강원도,속초시,한우,수,201605,9
강원도,속초시,한우,수,201606,1
강원도,속초시,한우,수,201607,4
강원도,속초시,한우,수,201608,10
강원도,속초시,한우,수,201609,2
강원도,속초시,한우,수,201610,6
강원도,속초시,한우,수,201611,6
강원도,속초시,한우,수,201612,2
강원도,속초시,한우,암,201601,6
강원도,속초시,한우,암,201602,2
강원도,속초시,한우,암,201603,5
강원도,속초시,한우,암,201604,9
강원도,속초시,한우,암,201605,5
강원도,속초시,한우,암,201606,4
강원도,속초시,한우,암,201607,4
강원도,속초시,한우,암,201608,6
강원도,속초시,한우,암,201609,5
강원도,속초시,한우,암,201610,6
