날짜,가임암소 수,도축 수,2년전 암송아지 가격,2년전 수송아지 가격,도매 가격,소비자 가격,소비자 심리지수,물가 총지수,물가 농축수산물지수,도체중량,출생두수,사육비,생산량
20150102,-1.7142128188463628,2.1289846257166514,-1.8364581358390233,-2.0601641227997387,-2.1887809292945906,-2.4200022086730804,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150105,-1.7142128188463628,2.1289846257166514,-1.8360081958010321,-1.9777547330584653,-2.2600591172606714,-2.20534190093224,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150106,-1.7142128188463628,2.1289846257166514,-1.8355582557630417,-1.8953453433171918,-1.8191631092230567,-2.2489872324903066,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150107,-1.7142128188463628,2.1289846257166514,-1.835108315725051,-1.8129359535759182,-1.7603769748180413,-2.2248719131080286,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150108,-1.7142128188463628,2.1289846257166514,-1.818910474357383,-1.806068504430812,-1.7449456145367248,-2.680175936093149,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150109,-1.7142128188463628,2.1289846257166514,-1.8094617335595768,-1.7923336061405999,-1.9029333507502035,-2.680175936093149,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150112,-1.7142128188463628,2.1289846257166514,-1.7955135923818626,-1.7534180609849983,-2.1064803411275688,-2.751163284697319,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150113,-1.7142128188463628,2.1289846257166514,-1.781565451204149,-1.7145025158293967,-1.960984658475156,-2.751163284697319,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150114,-1.7142128188463628,2.1289846257166514,-1.767617310026435,-1.6755869706737956,-2.073413140524748,-2.7859776542280725,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150115,-1.7142128188463628,2.1289846257166514,-1.57864249407031,-1.6179003978549042,-2.2438929302992925,-2.2970480450620294,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150116,-1.7142128188463628,2.1289846257166514,-1.6258861980593413,-1.6206473775129466,-2.4048199732330215,-2.3294848478931214,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150119,-1.7142128188463628,2.1289846257166514,-1.5871913547921346,-1.6037076696216848,-2.7252044057403553,-2.2221546940227017,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150120,-1.7142128188463628,2.1289846257166514,-1.5484965115249283,-1.5867679617304233,-2.478302641239291,-2.193963546012433,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150121,-1.7142128188463628,2.1289846257166514,-1.5098016682577218,-1.5698282538391612,-2.4746285078389776,-2.193963546012433,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150122,-1.7142128188463628,2.1289846257166514,-1.6515327802248154,-1.6247678470000104,-2.581178376448068,-2.0738964276795424,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150123,-1.7142128188463628,2.1289846257166514,-1.557045372246753,-1.6302618063160952,-2.67744067153628,-2.095634180362159,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150126,-1.7142128188463628,2.1289846257166514,-1.5457968712969834,-1.5776113628702813,-2.9750454769616703,-2.0054564719678662,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150127,-1.7142128188463628,2.1289846257166514,-1.534548370347214,-1.5249609194244682,-2.698750645258098,-2.0185330888160027,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150128,-1.7142128188463628,2.1289846257166514,-1.5232998693974449,-1.4723104759786543,-2.664213791295152,-2.0827273897068554,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150129,-1.7142128188463628,2.1289846257166514,-1.5516460917908637,-1.5176356403363547,-2.709038218778976,-2.0013806433398758,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150130,-1.7142128188463628,2.1289846257166514,-1.6110381768056456,-1.5093947013622273,-2.828080140949132,-2.023458048408158,-0.004418212790998355,-1.4811417598598569,-1.3445106688857136,-0.06243933185835069,-0.8267091440728876,-1.448933337990515,-1.4090164766682314
20150202,-1.7142128188463628,0.7459993973433343,-1.5817920743362452,-1.5487680764608356,-2.901562808955401,-2.023458048408158,0.20464281390950426,-1.5120721011439415,-1.126258770158571,-0.24523329206812763,-0.6291353400035555,-1.448933337990515,-1.4090164766682314
20150203,-1.7142128188463628,0.7459993973433343,-1.552545971866845,-1.5881414515594445,-2.6333510707325187,-1.9028814514967685,0.20464281390950426,-1.5120721011439415,-1.126258770158571,-0.24523329206812763,-0.6291353400035555,-1.448933337990515,-1.4090164766682314
20150204,-1.7142128188463628,0.7459993973433343,-1.5232998693974449,-1.6275148266580528,-2.3203149050258123,-1.8731618677510036,0.20464281390950426,-1.5120721011439415,-1.126258770158571,-0.24523329206812763,-0.6291353400035555,-1.448933337990515,-1.4090164766682314
20150205,-1.7142128188463628,0.7459993973433343,-1.5286991498533342,-1.580816172471331,-2.121176874728823,-2.2043229437752427,0.20464281390950426,-1.5120721011439415,-1.126258770158571,-0.24523329206812763,-0.6291353400035555,-1.448933337990515,-1.4090164766682314
20150206,-1.7142128188463628,0.7459993973433343,-1.540847530879085,-1.5986715402486071,-2.07120866048456,-2.193623893626767,0.20464281390950426,-1.5120721011439415,-1.126258770158571,-0.24523329206812763,-0.6291353400035555,-1.448933337990515,-1.4090164766682314
20150209,-1.7142128188463628,0.7459993973433343,-1.5670340410901482,-1.6179003978549038,-2.1013365543671303,-2.2601957612172807,0.20464281390950426,-1.5120721011439415,-1.126258770158571,-0.24523329206812763,-0.6291353400035555,-1.448933337990515,-1.4090164766682314
20150210,-1.7142128188463628,0.7459993973433343,-1.593220551301211,-1.6371292554612014,-1.796383482141113,-2.173074924293981,0.20464281390950426,-1.5120721011439415,-1.126258770158571,-0.24523329206812763,-0.6291353400035555,-1.448933337990515,-1.4090164766682314
20150211,-1.7142128188463628,0.7459993973433343,-1.6194070615122742,-1.6563581130674985,-1.6876291334918347,-2.173074924293981,0.20464281390950426,-1.5120721011439415,-1.126258770158571,-0.24523329206812763,-0.6291353400035555,-1.448933337990515,-1.4090164766682314
20150212,-1.7142128188463628,0.7459993973433343,-1.645593571723337,-1.6755869706737956,-1.8169586291828685,-2.062518072759735,0.20464281390950426,-1.5120721011439415,-1.126258770158571,-0.24523329206812763,-0.6291353400035555,-1.448933337990515,-1.4090164766682314
20150213,-1.7142128188463628,0.7459993973433343,-1.6717800819344002,-1.694815828280093,-1.930121937912523,-2.062518072759735,0.20464281390950426,-1.5120721011439415,-1.126258770158571,-0.24523329206812763,-0.6291353400035555,-1.448933337990515,-1.4090164766682314
