도축년월,평균도체중량
201501,413.05136639304544
201502,411.5396984730614
201503,409.40039632874425
201504,406.0510340693376
201505,400.91230814351354
201506,398.3527222482227
201507,394.6700478256034
201508,395.4938278873516
201509,395.45970489855887
201510,403.0673852540214
201511,405.90113292865743
201512,410.4050376723309
201601,412.6373308074568
201602,404.56165745856356
201603,407.04853395265366
201604,406.6955722946904
201605,404.97776631556087
201606,404.05924935314124
201607,403.2358482048813
201608,405.9378897480668
201609,404.2519259845921
201610,412.84667682853063
201611,413.710722263589
201612,419.3500525516758
201701,421.82705750410963
201702,421.64400226329684
201703,417.5959323070649
201704,415.927896625335
201705,413.4674825528472
201706,412.04851342711
201707,409.31573721217325
201708,409.07393012727425
201709,407.5863490092023
201710,414.6894586894587
201711,415.6614650654509
201712,419.8407514450867
201801,425.1663275991025
201802,422.1595844437864
201803,419.5465264131314
201804,417.6301266479564
201805,414.90896718958777
201806,413.9824647656506
201807,412.24458907219616
201808,417.1959449491011
201809,414.6370338711401
201810,419.6764993074006
201811,421.5920297114374
201812,425.8049408545908
201901,426.767580912703
201902,426.6683067791315
201903,422.79848935183924
201904,422.31386528780666
201905,420.21327145007524
201906,419.1441887873999
201907,418.8124532153794
201908,419.9227799227799
201909,417.9327449170288
201910,421.4415617181423
201911,423.3005044714515
201912,427.1679726575525
