출생두수
50325
56096
100232
120731
113786
89363
70859
61565
47144
45396
42522
42603
46456
60008
104834
127523
113930
90795
72623
61918
49735
47024
40688
44441
48321
62816
111795
127743
119085
94598
72369
62746
48665
47371
40354
44277
51406
62018
113024
131972
113968
93969
78166
68137
53853
51968
45356
49410
52854
67792
119302
134172
120441
95473
80405
72646
58982
54404
47730
52405
